Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3323 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3674 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3499 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2764 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3961 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3509 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.4253 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3722 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.385 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3568 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3274 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2667 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2396 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3518 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2313 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3076 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3592 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3919 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3706 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2978 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3751 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2752 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3883 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.3574 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2632 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.229 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2224 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2277 ms
Algorytm Best First Search; 8 miast; Długość ścieżki: 151; Czas: 0.2903 ms
