Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0053 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0051 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0035 ms
Algorytm Best First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0031 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.0572 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.035 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.0287 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.0546 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.0286 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.0112 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0116 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0108 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0108 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0185 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0085 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0071 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0103 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0064 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0117 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0204 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0236 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0081 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0077 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0208 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0126 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0159 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0215 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0103 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0129 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0165 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0149 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0127 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0434 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0081 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0271 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0491 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0075 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0101 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.008 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0113 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0154 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0251 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.038 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0099 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0127 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0136 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0122 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0843 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0181 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0127 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0133 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0123 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.016 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0359 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0158 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0112 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0146 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0102 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0129 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0159 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0157 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.012 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0115 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0215 ms
Algorytm Best First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0103 ms
