Algorytm Breath First Search; 8 miast; Długość ścieżki: 143; Czas: 148.374 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 181; Czas: 139.135 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 161; Czas: 136.706 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 168; Czas: 164.864 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 159; Czas: 148.85 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 161; Czas: 132.393 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 237; Czas: 147.918 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 183; Czas: 138.059 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 168; Czas: 127.982 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 141; Czas: 132.505 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 132; Czas: 138.136 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 186; Czas: 137.307 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 144; Czas: 138.635 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 143; Czas: 134.501 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 201; Czas: 167.155 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 184; Czas: 140.915 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 180; Czas: 140.831 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 221; Czas: 157.352 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 192; Czas: 143.678 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 243; Czas: 169.717 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 176; Czas: 147.49 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 176; Czas: 139.685 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 97; Czas: 145.197 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 226; Czas: 179.193 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 235; Czas: 131.525 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 102; Czas: 135.285 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 191; Czas: 139.723 ms
Algorytm Breath First Search; 8 miast; Długość ścieżki: 214; Czas: 176.239 ms
