Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0116 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0211 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0163 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0155 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0216 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0151 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0144 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0118 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.011 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0166 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0226 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0122 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0109 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0258 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0129 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0117 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0098 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0175 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0068 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0094 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0162 ms
Algorytm Depth First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0104 ms
