Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.006 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0063 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0038 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.005 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0091 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0056 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0053 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0055 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0069 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0054 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0056 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0057 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0071 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0077 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0096 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0077 ms
Algorytm Breath First Search (SYMETRYCZNA); 3 miast; Długość ścieżki: 150; Czas: 0.0034 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.0607 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.0304 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.0694 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.0149 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 226; Czas: 0.013 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0322 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0212 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0181 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0359 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0167 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.03 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0376 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0114 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0205 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0172 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0223 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.021 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0113 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0082 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0337 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0118 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0091 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0254 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0102 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.013 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0651 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0148 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0146 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0369 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0092 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0144 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0286 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0185 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0147 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0087 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0185 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0218 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0313 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0262 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0147 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0159 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0202 ms
Algorytm Breath First Search (SYMETRYCZNA); 4 miast; Długość ścieżki: 231; Czas: 0.0156 ms
